,name,ra,dec,velocity,redshift,flag
28084,WISEA J095947.12+031446.9,149.94636,3.24639,30849.0,0.102902,SPEC
28085,WISEA J100024.60+030933.5,150.10254,3.15937,--,--,
28086,WISEA J095958.23+031242.2,149.99265,3.21185,--,--,
28087,SDSS J095958.31+031237.1,149.99299,3.21032,--,--,
28088,SCOSMOS70 J095958.4+031238,149.99344,3.21078,--,--,
28089,GALEXMSC J095958.45+031235.6,149.99355,3.20991,--,--,
28090,SDSS J095958.75+031232.3,149.99481,3.20899,--,--,
28091,WISEA J100019.22+031520.8,150.08013,3.25585,--,--,
28092,WISEA J100024.71+031451.9,150.10311,3.24773,--,--,
28093,WISEA J100002.35+033809.9,150.00985,3.63601,--,--,
28094,WISEA J100027.09+033040.7,150.11287,3.5114,--,--,
28095,SDSS J100027.19+033044.9,150.11329,3.51249,--,--,
28096,WISEA J095957.59+031338.0,149.98999,3.22724,--,--,
28097,SDSS J095957.97+031340.2,149.99157,3.22784,--,--,
28098,WISEA J100050.02+031501.1,150.20833,3.25034,--,--,
28099,SDSS J100050.33+031456.7,150.20971,3.24911,--,--,
28100,WISEA J100044.61+030651.8,150.18604,3.11427,--,--,
28101,SDSS J100052.33+033130.2,150.21804,3.52506,--,--,
28102,WISEA J100052.38+033124.3,150.21826,3.52344,--,--,
28103,WISEA J100032.63+033241.4,150.13602,3.54484,--,--,
28104,GALEXASC J100033.06+033242.5,150.13776,3.54517,--,--,
28105,2MASS J10013841+1912231,150.41005,19.20644,--,--,
28106,SDSS J100138.54+191231.9,150.4106,19.20888,--,--,
28107,WISEA J100138.70+191233.5,150.41128,19.20931,--,--,
28108,SDSS J100138.91+191234.1,150.41213,19.20949,--,--,
28109,WISEA J100216.31+185736.3,150.56833,18.95987,--,--,
28110,WISEA J100245.38+191238.1,150.6891,19.21062,--,--,
28111,WISEA J100243.33+190905.3,150.6804,19.15118,--,--,
28112,WISEA J100328.06+191403.4,150.86701,19.23429,--,--,
28113,SDSS J100210.94+192317.2,150.54561,19.38812,--,--,
28114,WISEA J100156.37+190727.2,150.48492,19.12426,32069.0,0.10697,SPEC
28115,WISEA J100207.96+190806.4,150.53315,19.13512,27064.0,0.090275,SPEC
