,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,z-w1,z-w2,z-w3,z-w4,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,w1,w2,w3,w4,link
1907,1237674598926319777,182.088165545274,10.626545727813,1.3004800000000003,1.8855299999999993,3.518399999999998,1.6328699999999987,0.8949600000000011,2.225570000000001,2.2295700000000007,3.6595700000000004,6.596570000000002,0.3130644567523044,0.072494,1.0,NGC4119,16.5,0.3952569,Possible contaminants,185.52724139549468,-14.744939721069535,19.12297,17.23744,15.93696,16.34248,15.60457,13.379,13.375,11.945,9.008,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237674598926319777
1908,1237671128594120803,182.178412545803,10.5033169739512,1.439510000000002,1.8625799999999977,3.617139999999999,1.7545600000000015,1.0083599999999997,2.0201700000000002,2.3031699999999997,4.807169999999999,7.2041699999999995,0.43083113679456564,0.119799,0.6735423,NGC4119,16.5,0.8423591,Possible contaminants,299.0682627660776,-14.464049721069532,19.49431,17.63173,16.19222,16.62337,15.87717,13.857,13.574,11.07,8.673,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128594120803
1909,1237671128594186379,182.184242115641,10.7262509259417,1.0792500000000018,1.1874800000000008,2.4956200000000024,1.3081400000000016,0.7075200000000024,1.9310199999999984,2.1810199999999984,5.53402,7.971019999999999,0.42933853987496334,0.133505,0.556613,NGC4119,16.5,0.9063378,Possible contaminants,244.96843947272902,-14.111779721069535,18.87064,17.68316,16.60391,16.97564,16.37502,14.444,14.194,10.841,8.404,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128594186379
1910,1237671128594120839,182.222852544484,10.5388692928252,1.1391400000000012,1.7174099999999974,3.1087299999999978,1.3913200000000003,0.7645499999999998,2.0182200000000012,1.9872200000000007,4.59722,8.259220000000001,0.38467296340254653,0.058508,0.632876,NGC4119,16.5,0.939387,Possible contaminants,127.52206936757676,-13.749429721069532,19.81995,18.10254,16.9634,17.33799,16.71122,14.693,14.724,12.114,8.452,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128594120839
1911,1237671128594120824,182.108493483469,10.5769640917006,1.2522599999999997,2.0541300000000007,3.7490999999999985,1.6949699999999979,0.9601100000000002,2.3608900000000013,2.6778900000000014,4.576890000000001,8.22789,0.3960858460613504,0.121127,0.8188896,NGC4119,16.5,0.2986784,Possible contaminants,82.67325372653275,-13.023669721069535,21.07799,19.02386,17.7716,18.06375,17.32889,14.968,14.651,12.752,9.101,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128594120824
1912,1237671128057118857,182.412883376668,10.1141626324805,1.2453499999999984,1.8469100000000012,3.365190000000002,1.5182800000000007,0.8796099999999996,2.28008,2.5020799999999994,5.3850799999999985,9.17208,0.38481858710550043,0.120151,0.9178283,NGC4119,16.5,0.4358745,Possible contaminants,84.59421995487867,-12.609669721069533,21.20427,19.35736,18.11201,18.47775,17.83908,15.559,15.337,12.454,8.667,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128057118857
1913,1237674598389448818,182.354153417564,10.3814661540597,1.3449799999999996,1.8516499999999994,3.5546099999999985,1.7029599999999991,0.9200099999999996,2.2023600000000005,2.3823600000000003,3.1493599999999997,6.3113600000000005,0.3370007588426469,0.079075,0.6896213,NGC4119,16.5,0.4568491,Possible contaminants,287.761676664151,-15.088109721069534,18.77097,16.91932,15.57434,15.99931,15.21636,13.014,12.834,12.067,8.905,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237674598389448818
1914,1237671128057249961,182.548177019696,10.3241693995657,1.4522300000000001,1.724140000000002,3.504810000000001,1.7806699999999989,0.9934599999999989,2.0654000000000003,2.259400000000001,4.721400000000001,6.451400000000001,0.4181611595627073,0.134555,0.9265924,NGC4119,16.5,0.4755423,Possible contaminants,481.9517849619525,-14.744809721069533,19.06021,17.33607,15.88384,16.34261,15.5554,13.49,13.296,10.834,9.104,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128057249961
1915,1237671128057184444,182.480749681118,10.2744487528743,1.384809999999998,1.9015800000000027,3.6185800000000015,1.7169999999999987,0.9582999999999977,2.438039999999999,2.659039999999999,4.33104,7.29804,0.2897259125699668,0.101206,1.0,NGC4119,16.5,0.7242162,Possible contaminants,110.71693186787401,-14.199679721069533,19.74762,17.84604,16.46123,16.88774,16.12904,13.691,13.47,11.798,8.831,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128057184444
1916,1237671128057184446,182.52509247624,10.2503724769604,1.2097700000000025,1.6829599999999978,3.177109999999999,1.4941500000000012,0.7958700000000007,2.3494200000000003,2.6454199999999997,5.499420000000001,8.168420000000001,0.36173789003878937,0.075473,0.9854114,NGC4119,16.5,0.7197382,Possible contaminants,168.13551533749208,-14.017719721069533,19.54853,17.86557,16.6558,17.0697,16.37142,14.022,13.726,10.872,8.203,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128057184446
